MOVIE_ID,NAME,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,GENRES,IMDB_ID,LANGUAGES,REGIONS,STORYLINE,YEAR
1292589,纽伦堡的审判,斯宾塞·屈塞/伯特·兰卡斯特/理查德·威德马克/玛琳·黛德丽/马克西米连·谢尔/朱迪·加兰/蒙哥马利·克利夫特/维尔纳·克伦佩雷尔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p922207281.jpg,斯坦利·克雷默,9.1,剧情/历史,tt0055031,英语 / 德语,美国,讲述二战后在纽伦堡提审德国纳粹计划的法律关系者，三个被告提审的原因是给犹太人施行断种手术。担任主审判长的是美国人赫鲁特，他主张其中两个被告无罪；而德国司法部长亚林克竟对此事保持沉默，但检查官罗森上校却激烈的指责被告，因此三个人展开激烈的辩论。审讯继续进行下去。而美国的高级官员们希望能在审判中获提德国所犯罪行的良好证明，因此对审判施以极大的压力，但赫鲁特坚守法律的正义立场，给予了最公正的判决。在宣布判决结果时，只有亚林对赫鲁特审判长的态度表示赞赏。,1961
1422091,情迷意乱,高峰秀子/加山雄三/草笛光子/白川由美/三益爱子/滨美枝/藤木悠/北村和夫/十朱久雄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1449763371.jpg,成濑巳喜男,9.1,剧情/爱情/家庭,tt0058349,日语,日本,小镇里，一家超级市场的宣传车四处开动，正在播放着周年庆大减价的消息，森田屋的礼子（高峰秀子 饰）却很苦恼。这家家庭式百货商店是礼子婆家的店，结婚不久后，丈夫于战场战死，家里只剩下上了年纪的婆婆（三益爱子 饰）和年纪尚幼的小叔幸司（加山雄三 饰）。礼子一人扛下经营的重担，一晃十八年，而现在却遭到超级市场的大冲击。礼子的小姑们——久子（草笛光子 饰）和隆子（白川由美 饰）想要借森田屋这块地皮改造成超级市场，而改建计划里却没有礼子的位置。知晓实情后的礼子借再婚之名决定离开森田屋。,1964
1291583,天空之城,田中真弓/横泽启子/初井言荣/寺田农/常田富士男/永井一郎/糸博/鹫尾真知子/神山卓三/安原义人/槐柳二/鳕子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,宫崎骏,9.1,动画/奇幻/冒险,tt0092067,日语,日本,古老帝国拉比达是一座漂浮在空中的巨大的机器岛，传说那里已经无人居住，蕴藏着巨大的财富。因此，无论军方还是海盗，都在找寻着这座传说中的飞行岛。,1986
1300334,熊的故事,巴特熊/切基·卡尤/杰克·华莱士/安德烈·拉孔布,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454268056.jpg,让-雅克·阿诺,9.1,剧情,tt0095800,英语 / 法语,法国 / 美国,宁静的原始森林，熊妈妈正带着自己的孩子约克寻找蜂蜜。正当母子享受这顿美餐时，灾难不期而至。熊妈妈被一块巨石砸死，约克伤心备至，不得已踏上了独自生存的艰险之路。它路遇被猎人伤害的成年灰熊，灰熊一心报复伤害它的人类，对待约克分外冷淡。但随着一段时间的相处，它和约克慢慢成为了好朋友。它们一路遭到猎人的追踪，也遇到了各种各样的险情，在这个危机重重的原始丛林中寻找属于自己的一片天地……,1988
2040152,法国大革命,克劳斯·马利亚·布朗道尔/简·西摩,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2562096919.jpg,罗贝尔·恩里科/理查德·赫夫伦,9.1,剧情/历史/战争,tt0098238,法语 / 英语,法国 / 意大利 / 西德 / 加拿大 / 英国,法国凯撒奖(1990；第15届),1989
3676858,爬行人,杰瑞米·布雷特/爱德华·哈德威克,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518184561.jpg,蒂姆·沙利文,9.1,悬疑/犯罪,tt0536970,英语,英国,自从61岁的普莱斯伯利教授狂热地爱上一个少女后，每隔九天，他就会被家里的狼狗狠狠地咬一次。而更令教授的女儿和助手惊骇的是：被狗咬的当天深夜，教授总是偷偷地溜出房间，在楼道和窗户上四处爬行……,1991
1418076,天堂回信,石晨/李丁/肖雄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1090024531.jpg,王君正,9.1,剧情/儿童,tt0334505,汉语普通话,中国大陆,1990年代，北京。晨晨（石晨 饰）的爸妈在国外工作，他平日与爷爷（李丁 饰）一起生活。爷爷干了一辈子邮政工作，退休后与孙儿相依为命。一天，祖孙俩把一封已故去的收信人的信件系在风筝上放飞天空，爷爷告诉晨晨：他在天堂会收到的。不久，妈妈（肖雄 饰）从国外回来了，她看不惯公公对晨晨的放任，每天给晨晨布置了英语、钢琴等课程，原有的平静不见了，爷爷搬回了自己的旧居。晨晨日夜思念爷爷，他恨透了什么英语钢琴，整天哭闹不休，妈妈见此若有所思。爷爷的生日到了，晨晨与好伙伴琳琳送来生日贺卡祝福，爷爷带他们外出放风筝，劳累一天后，在孩子们的欢笑声中，爷爷竟然永远“睡”去了......,1992
4906417,高智能方程式赛车 TV总集篇,金丸淳一/三石琴乃/安达忍,https://img3.doubanio.com/view/subject/l/public/s4412555.jpg,福田己津央,9.1,爱情/科幻/动画,,日语,日本,ハヤトが初優勝を制した第10回大会の軌跡を、アスラーダがドライバー別に編集したビデオで振り返る総集編。,1992
3712242,硬纸盒子,杰瑞米·布雷特/爱德华·哈德威克,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509534531.jpg,莎拉·赫林斯,9.1,悬疑/犯罪,tt0646182,英语,英国,"Susan Cushing asks Holmes' help in solving the disappearance of her sister Mary Browner, but it doesn't seem Holmes' type of case until he is told of a Christmas present's grisly contents.",1994
1301811,鳄鱼波鞋走天涯,布拉德·兰弗洛/约瑟夫·梅泽罗/安娜贝拉·莎拉/戴安娜·斯卡尔维德/约翰·卡洛·林奇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2188484411.jpg,彼得·霍顿,9.1,剧情/儿童,tt0112757,英语,美国,故事发生在一个宁静的小镇里，德斯特（约瑟夫·梅泽罗 Joseph Mazzello 饰）和艾瑞克（布拉德·兰弗洛 Brad Renfro 饰）是一对毗邻而居的同龄人。一场医疗事故打破了德斯特的平静生活，由于医疗设备的污染，德斯特在输血的过程中感染了可怕的艾滋病。尽管不幸从天而降，并非谁的过错，但德斯特一家还是遭到了居民们的孤立和排挤。,1995
1889694,怒海英雄：火攻船,艾恩·格拉法德/罗伯特·林德森/伊恩·麦克尼奇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2278610371.jpg,安德鲁·格里弗,9.1,剧情/战争/冒险,tt0194947,英语 / 法语,英国,该片改编自英国畅销作家佛瑞斯特(C. S. Forester)的最得意作品，描写了18世纪末到19世纪初霍恩布洛尔船长的海上传奇，刻画了一位正直、勇敢、智慧、富有冒险精神并时刻反思人生的船长形象，该书的系列作品到目前仍受到霍恩迷的支持，在国外亦有专门的网站和讨论区交流此作品。本片讲述的是初出茅庐的Hornblower作为一个海军学员的故事，是几年以来不可多得的人物撰记片。,1998
1293350,两杆大烟枪,杰森·弗莱明/德克斯特·弗莱彻/尼克·莫兰/杰森·斯坦森/斯蒂文·麦金托什/斯汀/维尼·琼斯,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,盖·里奇,9.1,剧情/喜剧/犯罪,tt0120735,英语,英国,艾迪（尼克·莫伦）思维敏捷，是个玩牌高手。在三个好友的支持下，艾迪携巨资参加了黑社会的高额赌局，不想落入圈套，欠下50万的赌债。为了还清赌债，艾迪和朋友们绞尽脑汁，最终算计到一群毒贩身上，并为打劫购买了两杆老式烟枪。,1998
1303927,数码宝贝大电影一：滚球兽的诞生,藤田淑子/荒木香惠/坂本千夏/石丸博也/榊原良子/冬马由美/尾小平志津香/菊地祥子/杉本优/永野爱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525457080.jpg,细田守,9.1,动作/动画/冒险,tt2049430,英语,日本,三年前，一颗数码蛋从数码世界掉进了现实世界，滚球兽出生了……这与三年后被选召的孩子们的故事有什么联系呢？本故事情节跌荡起伏，滚球兽进化为亚古兽，为了能打败强大的对手鹦鹉兽，它进化为暴龙兽，而另有六个孩子看到了战斗过程，他们就是……,1999
1889700,怒海英雄：叛乱,艾恩·格拉法德/罗伯特·林德森/大卫·沃纳/吉米·巴姆博/保罗·麦甘恩,https://img1.doubanio.com/view/subject/l/public/s1832238.jpg,安德鲁·格里弗,9.1,剧情/战争/冒险,tt0273656,英语,英国,Hornblower and his comrades come under the command of a revered but obviously mentally unstable captain and eventually must mutiny.,2001
